Subject,Question,A,B,D,C,E,I,F
Biology,"Assertion:Presently, the global atmosphe
re is warming up.

Reason :The depletion of stratospheric oz
one layer has resulted in increase in ultra
violet radiations reaching the earth.","If both the assertion and the reason are true and the
reason is a correct explanation of the assertion",If both the assertion and reason are true but the reason is not a correct explanation of the assertion,If both the assertion and reason are false,If the assertion is true but the reason is false,If the assertion is false but reason is true,,
Biology,"Assertion
Nucleic acid complexes alone cannot cause diseases.
Reason
Only nucleoproteins can function as infectious agents.",both assertion and reason are true and reason is the correct explanation of assertion.,both assertion and reason are true but reason is not the correct explanation of assertion,both assertion and reason are false,assertion is true but reason is false.,,,
Biology,"Fishes which are parasite as well as
scavanger are",ostracoderm,cyclostomata,All of the above,Tetrapoda,,,
Biology,"Fill in the blanks with appropriate
words.
The network of capillaries, enclosed in a Bowmans capsule is called",,,,,,,
Biology,Select the wrong statement,Presence of chromogenic substrate gives blue colour colonies if the plasmid in the bacteria does not have an insert,"Retroviruses in animals have the ability to transform normal cells into cancerous cellsın microinjection, cells are bombarded with high velocity microparticles of gold or tungsten coated with DNA",DNA is a negatively charged molecule,since DNA is a hydrophilic molecule it cannot pass through cell membranes,,,
Biology,Which one is not disaccharide?,Lactose,"Sucrose
C . Maltose",starch,,,,
Biology,Osmotic pressure is maintained by blood colloid,Albumin,Thrombin,Globulin,Fibrinogen,,,
Biology,"Why defects in the myelin sheath is
dangerous?",Action potentials would be conducted too slowly along the neurons,Muscles would not contract when stimulated,The bone tissue would not be properly maintained,The thyroid gland would not be able to produce thyroxine,,,
Biology,Slime moulds are,photosynthetic protists,"saprophytic protists
\( c . \) both (a) and (b)",none of these.,,,,
Biology,Write two points of differences between arteries and veins.,,,,,,,
Biology,"Active transport involves the transport of molecules across a cell membrane.
In order to establish and maintain a
concentration gradient, which of the following condition is suitable?",Free energy is used to drive molecules back-and-forth across the transmembrane protein,Free energy is used to drive molecules and across a transmembrane protein against the concentration gradient.,There must be an equal quantity of molecules on both sides of the membrane,No free energy is required,,,
Biology,Which of the following is a fossil pteridophyte?,Lycopodium,Lygodium,Rhynia,Psilotum,,,
Biology,"In which bacteria, lipopolysaccharide is found as the main surface antigen?",Gram negative bacteria,Gram positive bacteria,All of the above,cyanobacteria,,,
Biology,Paramecia are members of the Kingdom,Fungi,Animalia,Protistata,Archaea,Plantae,,
Biology,"In order to enter cell cycle a cell must be stimulated from outside. What type of molecule provides this stimulation?
A . cyclin",,colk,tyrosine kinases,cytokines and growth factor,,,
Biology,During binary fusion in Amoeba which of the following organelles is duplicated?,Plasma membrane,Nucleus,All of these,Centriole,,,
Biology,"A segment of DNA contains 1200
nucleotides, of which 200 have adenine
base. How many cytosine bases are present in this segment of DNA?
A . 100",,"200
\( c \cdot 400 \)",800,,,,
Biology,"The solid form, snow and ice, is present
as",Ice caps at the poles of the earth.,Snow-covered mountains,"Ice caps at the poles of the earth, snow-covered mountains and glaciers",Glaciers.,,,
Biology,Smallest man like ape is,Chimpanzee,Orangutan,Gibbon,sloth,,,
Biology,"In the diagram of T.S. of stele of a dicot
root, the different parts have been indicated by alphabets; choose the answer in which these alphabets correctly match with the parts
they indicate.","A- Endodermis, B-Conjunctive tissue, C- Metaxylem,
D- Protoxylem, E- Phloem, F- Pith","A- Endodermis, B- Pith, C- Protoxylem, D- Metaxylem,
E- Protoxylem, F- conjunctive tissue","A- Endodermis, B- conjunctive tissue, C- Protoxylem,
D- Metaxylem, E- Phloem, F- Pith","A-Pericycle, B-Conjunctive tissue, C- Metaxylem, DProtoxylem, E- Phloem",,,
Biology,"Arteries are the blood vessels which
have elastic walls and \( -\ldots- \) are the
blood vessels with non-elastic thin
walls.",,,,,,,
Biology,Write any two important difference between short day plants and long day plants.,,,,,,,
Biology,"The major fraction of \( C O_{2} \) released
during cellular respiration is transported by the blood to the lung capillaries",In combination with haemoglobin,As free \( C O_{2} \),In the form of bicarbonate ions,As carbonic acid or \( H_{2} C O_{3} \),,,
Biology,"In humans, the \( _{--}-_{-}-_{-} \) fluid present in pericardium protects the heart from injuries.",Pleural,Mucosal,None of the above,Pericardial,,,
Biology,"""Sexual reproduction is more advance than asexual reproduction"" Why?",,,,,,,
Biology,"Angiosperms have dominates the land
flora, primarily because of their",Power of adaptability in diverse habitat,Property of producing large number of seeds,Domestication by man,Nature of same pollination,,,
Biology,"State whether the following statements
are true or false.
When Van Leeuwenhoek examined
scrapings of his teeth under a microscope after drinking hot coffee, he saw living germs in them.",True,False,,,,,
Biology,"Part not belonging to nephron tubule is:
This question has multiple correct options
A . Glomerules",,Bowman's capsule,Loop of Henle,collecting duct,,,
Biology,"Flowering of Chrysanthemum is inhibited by
\( A \cdot \) IAA
в. \( G A_{3} \)",,,Ethylene,cytokinin,,,
Biology,"Which one of the following class of phylum mollusca is correctly matched with its general characteristics? Gastropoda - larvae are bilaterally symmetrical; but in adult, the twisting
of viscera makes them lose this
symmetry. some, like land snail and slug (a shell-less form), live on land. Bivalvia - They are sedentary filter feeders.
Cephalopoda - They are at the apex of invertebrate evolution in terms of
learned behaviour they exhibit. The eyes
are image forming, same what similar
to ours.
Pelecypoda - They have sensory tentacles and their foot is reduced into
a tongue - shaped structure which helps them to burrow into sea floor.",,,,,,,
Biology,The synthesis of proteins for formation of spindle fibres takes place in,Gi phase,s phase,M phase,\( \mathrm{G}_{2} \) phase,,,
Biology,Bakane disease in paddy is caused by,Abscissic acid,Gibberellic acid,Naphthalene acetic acid,Phenyl acetic acid,,,
Biology,"The two extinct lines of the
gymnosperms which are regarded as an ancestral stock from which the modern
gymnosperms might have originated
are?",Cordaitales and Bennettitales,Cycadales and Coniferales,Gnetales and Coniferales,Ginkgoales and Cycadales,,,
Biology,The offspring of a cross between two individuals differing in at least one set of characters is called as,Polyploid,Mutant,Variant,Hybrid,,,
Biology,Which side of the heart pumps only deoxygenated blood?,Right,Left,None of the above,Both right and left,,,
Biology,"Gibberellins can promotes seed germination because of their influence
on",Rate of cell division,Production of hydrolyzing enzymes,Absorption of water through hard seed coat,synthesis of absicisic acid,,,
Biology,The baleen plate of whale is,Modified tooth,Modified sebaceous gland,Modified tongue,Modified integument,,,
Biology,T-bacteriophages possess,Rounded shape,"Tadpole shape
C . Irregular shape",Rhomboid shape,,,,
Biology,What is glycolysis? Sketch the pathway showing different stages in glycolysis.,,,,,,,
Biology,A fungal spore,Contains an embryonic organism,Germinates directly into an organism,"Both
(b) and (c)",Is always windblown,,,
Biology,What is the normal hemoglobin content of an adult man?,\( 85 g / L \) of blood,\( 105 g / L \) of blood,\( 185 g / L \) of blood,\( 145 g / L \) of blood,,,
Biology,Lady's finger belongs to family of,Malvaceae,Cruciferae,None of the above,compositae,,,
Biology,Which of the following is correct pair of pyrimidine bases?,Adenine and Thymine,Adenine and Guanine,Guanine and Cytosine,Thymine and Cytosine,,,
Biology,Which two gases makes the make the bulk of the atmosphere?,,,,,,,
Biology,Which animal do not possess larval stage in its life cycle?,Ascaris,Frog,Pheretema,Taenia,,,
Biology,Muscular ridges at inner surface of ventricles are called,Chordae tendinae,Inter ventricular septum,Trabeculae carnae,Papillary muscle,,,
Biology,"At DO below \( 4 \mathrm{mg} / l, \) water at normal temperature is considered as",Heavily polluted,Moderately polluted,Nearly pure,Little polluted,,,
Biology,A dikaryotic cell has,Two haploid nuclei,Diploid zygote,Two dissimilar haploid nuclei,Two similar nuclei,,,
Biology,"Mrs. Verma has an autosomal gene pair Bb' and she contain x-linked gene 'd'
What is the percentage of gamete, which contain 'bd' genes?",\( 1 / 2 \) or \( 50 \% \),1/4 or 25\%,1 or \( 100 \% \),3/4 or 75\%,,,
Biology,"Choose the correct answer from the
alternatives given The valve between the left atrium and
left ventricle is:",bicuspid (mitral) valve,aortic semilunar valve,sinoatrial valve,tricuspid valve,,,
Biology,"Explain the cause of algal bloom in a
water body. How does it affect an
ecosystem.",,,,,,,
Biology,"During secondary treatment of primary effluent, how does significant decrease
in BOD occur?",,,,,,,
Biology,Bioassay of IAA is,Avena curvature test,Callus test,\( \alpha \) -amylase test,Leaf disc test,,,
Biology,Which of the following criteria does not pertain to facilitated transport?,High selectivity,Transport saturation,Requirement of special membrane proteins,Uphill transport,,,
Biology,"Very Short Answer Types:
Name three steps of aerobic respiration",,,,,,,
Biology,Persistent calyx forming a cover around the fruit is found in,Argemone mexicana,Ageratum conyzoides,Brassica campestriss,Withania somnifera,,,
Biology,The primary succession in a sere is a,Sub sere,Meso sere,None of the above,Pioneer sere,,,
Biology,"Which of the following are not
characteristic features of fabaceae?","The root system, compound leaves and raceme inflorescence","Flowers actinomorphic, twisted aestivation and gamopetalous","Monocarpellary, ovary superior and bent stigma","Stamens 10 , introrse, basifixed, dithecous",Fruit is legume,,
Biology,Anadromous fishes move,From sea to fresh water,From sea to estuary,From estuary to sea,From river to sea,,,
Biology,"When the muscles of the heart
contract?",Blood is pumped from the right ventricle into the lungs.,Blood flows from the lungs into the left auricle.,None of the above.,Blood is pumped into the right auricle from all over the body,,,
Biology,Describe types of asexual reproduction,,,,,,,
Biology,"Stomata are not found in
A . Algae",,Mosses,Liverworts,Ferns,,,
Biology,"Write two slogans to spread awareness
about biodiversity",,,,,,,
Biology,Chemical agent that has important role in flowering is,Fluorocarbon,GA \( _{3} \),Auxins,Florigen,,,
Biology,"If due to some injury, the chordae tendinae of the tricuspid valve of the human heart partially becomes nonfunctional, what will be the immediate
effect?",The flow of blood into the pulmonary artery will be reduced,The flow of blood into the aorta will be slowed down,The blood will tend to flow back into the left atrium.,The pacemaker will stop working.,,,
Biology,What are the factors affecting the rate of diffusion?,,,,,,,
Biology,What are haustoria?,,,,,,,
Biology,"Choose the correct answers from the
alternatives given :
The creation of an RNA molecule from a
section of DNA is known as",replication,RNA splicing,translation,transcription,,,
Biology,Pacemaker of amphibians is located,Near inter-auricular septum,Inside right atrium,In sinus venosus,Inside right ventricle,,,
Biology,Safai karamcharis collect the garbage in trucks and take it to a low lying open area. This area is called as,Dust bin,Garbage,waste,Landfill,,,
Biology,"This Indian scientist and his group
contributed immensely to \( C_{4} \) photosynthesis research",J.C. Bose,v.s.Rama Das,c.G.K Ramanujan,P.K.K. Nair,,,
Biology,Consider the following statements:,"Condom, diaphragm and cervical caps ate the common barriers used to
prevent pregnancy.","\( B, c \) and \( D \)",\( c \) and \( D \),A and D,,,
Biology,Spiral valve is present in,Right auricle,Left auricle,Truncus arteriosus,Right ventricle,,,
Biology,Which processes would you consider essential for maintaining life?,,,,,,,
Biology,Which tissue gives rise to secondary growth?,Apical meristem,Adventitious root,vascular cambium,Axillary bud,,,
Biology,A prothallus is,A structure in pteridophytes formed before the thallus develops,A sporophytic free living structure formed in pteridophytes,A primitive structure formed after fertilisation in pteridophytes,"A gametophyte free living structure formed, in pteridophytes",,,
Biology,Alary muscle is associated with,Heart and circulation,Malpighian tubules and excretion,None of the above,Trachea and respiration,,,
Biology,"The part labelled as 1 in the given
structure of nephron is",Glomerulus,Bowman's capsulel,Loop of Henle,Proximal convoluted tubule,Distal convoluted tubule,,
Biology,"Which of the following activities is characterised by minimum breathing
rate?",Sleeping,Washing of clothes,Dancing,Cleaning of floor,,,
Biology,"The reaction that is responsible for the
primary fixation of \( C O_{2} \) is catalysed by",\( R u B P \) carboxylase,\( P E P \) carboxylase,\( P G A \) synthase,\( R u B P \) carboxylase and \( P E P \) carboxylase,,,
Biology,"Soil suitable for cultivation of tobacco,
vegetables and paddy",Black soil,Red soil,All of the above,Alluvial soil,,,
Biology,The three cardinal points related to photosynthesis was proposed by,Blackman,Sachs,None of the above,Roger slack,,,
Biology,Yeast produces its clone naturally. This process is called as,Budding,Cloning,None of the above,Growth,,,
Biology,"Very short answer type.
What is serum?",,,,,,,
Biology,Membrane separating air in pulmonary alveoli from blood capillaries.,Alveolar epithelium,Cardiac epithelium,Both'1' and '3',Endothelium of blood capillaries,,,
Biology,The apoplast is located,Outside the plasma membrane,In the entire cytosol,In the plastidial content,On both sides of plasma mebrane,,,
Biology,"The process of the formation of RNA
from DNA is",Transduction,Transcription,Transition,Transversion,,,
Biology,Coenzyme A helps in,Oxidative phosphorylation,Substrate level phosphorylation,Activation of acetyl group,Breakdown of pyruvate,,,
Biology,"Differentiate between
Open bundle and closed bundle",,,,,,,
Biology,"Some vascular bundles are described
as open because these",are surrounded by pericycle but no endodermis,are capable of producing secondary xylem and phloem,are not surrounded by pericycle,possess conjuctive tissue between xylem and phloem,,,
Biology,"Chemiosmotic theory of ATP synthesis
in mitochondria is based on
A \( \cdot \mathrm{K}^{+} \) gradient",,H \( ^{+} \) gradient,\( \mathrm{ca}^{2+} \) gradient.,Nat gradientt,,,
Biology,Male gametes are flagellated in,Ectocarpus.,Spirogyra.,Anabaena.,Polysiphonia.,,,
Biology,"Assertion
Copper-T is an effective contraceptive
device in human females.
Reason
Copper-T prevents passage of sperms from vagina upwards into fallopian
tubes.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,Name various parts of stamen,,,,,,,
Biology,"Choose the correct answer from the
alternatives given. Thyroid-stimulating hormone (TSH) is secreted by:",hypothalamus,anterior pituitary,thyroid,posterior pituitary,,,
Biology,Sap wood is otherwise called as,Duramen,Alburnum,Medullary rays,Pith,,,
Biology,"In ECG, P-R interval corresponds to",Time delay in A-V node,S-A nodal conduction time,Time interval between onset of ventricular contraction,Increased ventricular contraction,,,
Biology,The water conducting tissue in Bryophyta is,Parenchyma,Sclerenchyma,Sieve tubes,Trachieds,,,
Biology,"In a DNA molecule cytosine is \( 18 \% \) Percentage of adenine would be
A . 32\%",,64\%,18\%,36\%,,,
Biology,Chitin is composed of,Protein and carbohydrates,Carbohydrates and mannose,Polysaccharides rich mannose,Fatty acids and carbohydrates,,,
Biology,"Explain how equal genetic contribution
of male and female parents is ensured
in the progeny.",,,,,,,
Biology,"The tRNA anticodon 3-UAC-5 will pair
with the mRNA codon",5-AUU-3,5-UAC-3,3-GUA-5,5-AUG-3,,,
Biology,"An example for saprophytic angiosperm
is",Drosera,Vanda,cuscuta,Monotropa,,,
Biology,"Classification of life forms is closely
related to their evolution.' Do you agree
with this statement? Comment with an
example.",,,,,,,
Biology,Cork cambium is also called,Phelloderm,Phellem,Phellogen,Periderm,,,
Biology,Which of the following helps the soil to prevent the flood?,Forest,Animals,None of the above,Fishes,,,
Biology,"On a hot summer day cooling of the
plant occurs due to",Loss of water vapours from leaf,Transport of water in plant,Loss of water from entire plant,Loss of liquid water,,,
Biology,Select the incorrect statement.,"Microelements involve \( \mathrm{N}, \mathrm{P}, \mathrm{Mn}, \mathrm{Cu}, \mathrm{Mo} \)",The concentration of microelements is \( 10 \mathrm{m} \) mole/kg,The deficiency of microelements causes symptoms of disease,"If the concentration is more than \( 10 \mathrm{m} \) mole/kg, they become toxic",,,
Biology,"Match the name of the scientists with
their important contributions given under. Choose the answer which gives
correct combination.
\( A \cdot A-4, B-1, C-3, D-2 \)",,"\( A-1, B-4, C-2, D-3 \)","\( A-4, B-3, C-2, D-1 \)
E . \( A-3, B-2, C-1, D \)","\( A-2, B-1, C-3, D-4 \)",,,
Biology,Nucleic acids are the polymers of,Nucleosides,Nucleotides,sugars,Nitrogenous bases,,,
Biology,Give the schematic representation of Glycolysis,,,,,,,
Biology,"\( A \cdot A-4, B-3, C-1, D-2 \)",,"\( A-3, B-1, C-4, D-3 \)","\( A-1, B-2, C-4, D-3 \)","\( A-3, B-2, C-3, D-1 \)",,,
Biology,"All the statements about temperature
effects is true, with an exception of",Raising the temperature may reduce the activity of an enzyme.,Raising the temperature may increase the activity of an enzyme to some extent,The isozymes of an enzyme have the same optimal temperature.,Raising the temperature may denature an enzyme.,,,
Biology,"In a complimentary gene interaction calculate the number of phenotype and genotype produced in a cross \( A a B b \times \)
\( a a B B \)","1 phenotype, 2 genotypes","2 phenotypes, 4 genotypes","2 phenotypes, 2 genotypes","4 phenotypes, 4 genotypes",,,
Biology,Name the part of plant which helps in holding the plant in the soil.,,,,,,,
Biology,"List the criteria a molecule that can act
as genetic material must fulfill. Which one of the criteria are best fulfilled by
DNA or by RNA thus making one of them a better genetic material than the other?",,,,,,,
Biology,Where are Malpighian corpuscles seen?,Medulla,Cortex,Pyramid,Pelvis,,,
Biology,"What are plants hormones? Name the
plant hormones responsible for the
following:
(i)Growth of stem
(ii)Promotion cell division
(iii)Inhibition of growth (iv)Elongation of cells",,,,,,,
Biology,"Write an essay on different events that
occur during development of human",,,,,,,
Biology,Explain how the separation of oxygenated and deoxygenated blood is useful in humans.,,,,,,,
Biology,Cell growth occurs dining,Interphase,Mitotic phase,Interphase and postmitotic phase,Postmitotic phase,,,
Biology,"What will be the metabolic fate of
pyruvic acid in absence of \( O_{2}: \)",Partial oxidation will take place,Complete oxidation,Dependent on energy needd,Utilisation for reoxidation of NADH,,,
Biology,Which one is an accessory excretory organ?,Liver,Stomach,Heart,Intestine,,,
Biology,"Choose the correct answers from the
alternatives given :
The greatest contributor of electrons to
the electron transport system is",oxygen,transition reaction,Krebs cycle,glycolysis,,,
Biology,Draw a labelled diagram of human digestive system and explain it.,,,,,,,
Biology,Lymph is transported through the,Lymph nodes,Lymphocytes,Lymph vessels,Lymph nerves,,,
Biology,"Assertion : 'Chipko Andolan' was done by women of Reni village.

Reason : 'Chipko Andolan' was done to protect wildlife.",If both the assertion and the reason are true and the reason is a correct explanation of the assertion.,If both the assertion and reason are true but the reason is not a correct explanation of the assertion,Both the assertion and reason are false.,If the assertion is true but the reason is false,If the assertion is false but reason is true.,,
Biology,"The vital capacity of the lung signifies
the volume of air",Breathe in during normal inspiration,Breathe out with forcible expiration,Volume of air expelled with forcible expiration after deep inspiration,Breathe in with forcible inspiration,,,
Biology,In sea-walnuts and comb-jellies the fertilization is,External,Internal,None,Both,,,
Biology,"Select the correct option regarding \( \mathbf{A}^{\prime} \) or
'B' given in the flow charts
\begin{tabular}{|l|l|l|l|l|}
\hline \( \mathrm{A} \) & \( \mathrm{B} \) & \multirow{2}{*} { Organs } & \multirow{2}{*} { Organ Systems } & \multirow{2}{*} { Organism } \\
\cline { 3 - 4 } & & & & \\
\hline
\end{tabular}",'A' is cell and 'B' is tissue,"'A' is unicellular organism
C . 'A' is tissue",'B' is cell,,,,
Biology,"The interior of the urinary bladder is
lined by",Columnar epithelium,Squamous epithelium,Goblet cells,Transitional epithelium,,,
Biology,"\( \ln C_{3} \) plants, the first stable product of photosynthesis during dark reaction is",3-phosphoglyceric acid,Phosphoglyceraldehyde,Oxaloacetic acid,Malic acid,,,
Biology,"Very short answer type.
Where is the hormone vasopressin
(ADH) synthesized?",,,,,,,
Biology,"Match the columns and find the correct
combination:
\begin{tabular}{cc|c|c} 
& \( \mathrm{I} \) & & \( \mathrm{II} \) \\
\( \mathrm{a} \) & Zeatin & 1 & Flowering hormone \\
\( \mathrm{b} \) & Florigen & 2 & Synthetic auxin \\
\( \mathrm{c} \) & \( \mathrm{IBA} \) & \( 3 . \) & Cytokinin \\
\( \mathrm{d} \) & \( \mathrm{NAA} \) & \( 4 . \) & Natural auxin
\end{tabular}
\( A \)
\( a-3, b-1, c-4, d-2 \)",,"\( a-4, b-1, c-2, d-3 \)
\( c \cdot a-3, b-4, c-1, d-2 \)","\( a-2, b-1, c-4, d-3 \)
\( \mathrm{E} \cdot \mathrm{a}-1, \mathrm{b}-2, \mathrm{c}-3, \mathrm{d}-4 \)",,,,
Biology,"If the total amount of adenine and
thymine in a double-stranded DNA is \( 45 \% \), the amount of guanine in this DNA will be
A . 22.5\%
B . 27.5\%",,,55\%,\( 45 \% \),,,
Biology,Bones become fragile due to,Arthritis,"osteoporosis
\( c . \) Gout",None of the above,,,,
Biology,The Casparian strips of root endoderm contain a mixture of,Cellulose and cutin,Cellulose and lignin,Cellulose and suberin,Lignin and suberin,,,
Biology,Which of the following environmental conditions are essential for optimum growth of Mucor on a piece of bread?,Temperature of about \( 25^{\circ} \mathrm{C} \),"B, C and Fonly","\( A, D \) and \( E \) only","\( A, C \) and \( E \) only",A shady place.,,"A brightly illuminated place. Choose the answer from the following options.
\( A \cdot B \) and \( D \) only"
Biology,"The synthesis of proteins requires 20 standard amino acids in the living
systems. However, some organisms use selenocysteine as an additional amino acid for synthesizing proteins. Selenocysteine is biosynthesized from",Cysteine,Serine,Proline,Threonine,,,
Biology,The monsoon winds that carry a lot of water to India come from the?,South-East,North-East,None of these,North-west,,,
Biology,During photorespiration the oxygen consuming reaction occur in,Grana of chloroplast and peroxisomes,Stroma of chloroplasts,Stroma of chloroplasts and peroxisomes,Stroma of chloroplasts and mitochondria,,,
Biology,The gills of mushroom,Bear spores which help in reproduction,Help in nutrition,Help in enhancing buoyancy,Help in respiration,,,
Biology,"The diagram given shows the green
house effect. Which of the following would have been in the absence of
greenhouse effect in the atmosphere?",Pollution will increase,Earth's surface temerature will decrease,Earth's surface temperature remains the same,Earth surface temperature will increase,,,
Biology,Who had proposed theory of cohesion and adhesion forces?,Dixon and Jolly (1894),Dixon and Benson (1885),sir Jagdish Chandra Bose (1850),Dixon and Jolly (1950),,,
Biology,"The figure shows four animals \( A, B, C \)
and D. Select the correct answer
regarding the characteristic feature of animals.",A and D have cnidoblasts for self-defence,c and D have true coelom,B and C show radial symmetry,A and D respire mainly through gills,,,
Biology,Which fish is known as living fossil?,Chimaera,Latimeria,Harpodon,Pristis,,,
Biology,"During translation, activated amino
acids get linked to (RNA). This process is commonly called as",charging of tRNA,discharging of tRNA,both (a) and (c).,aminoacylation of tRNA,,,
Biology,"In \( C_{4} \) pathway carboxylation occurs
twice. Discuss.",,,,,,,
Biology,"Assertion
The common name of Exocetus is flying
fish.
Reason
Exocetus has wing like pectoral fins.","Both Assertion and Reason are correct and Reason is
the correct explanation for Assertion","Both Assertion and Reason are correct but Reason is
not the correct explanation for Assertion",Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,Systole brings about the,Entry of blood into lungs,Entry of blood into heart,Exit of blood from ventricles,Exit of blood from lungs,,,
Biology,Which one of the following pairs of codons is correctly matched with their function or the signal for the the particular amino acid?,"AUG, ACG - Start/methionine","UUA, UCA - Leucine","UAG, UGA - Stop",GUU - Alanine,,,
Biology,"Assertion
In a woman after hysterectomy, the
ovarian cycle is stopped
Reason
Because \( F S H \) is not secreted.",Both Assertion and Reason are correct and Reason is the correct explanation for Assertion,Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion,Both Assertion and Reason are incorrect,Assertion is correct but Reason is incorrect,,,
Biology,"Which features adapt penguins to live
in extremely cold conditions?",A white colour thick skin and less fat,"Thin skin, large eyes, white fur","White body, paws for swimming, gills for respiration","White colour, thick skin and lot of fat",,,
Biology,"Write about dispersion of human
population and factors influencing it.",,,,,,,
Biology,"15.Match the terms given under column 'A' with their functions given under
column 'B' and select the answer from
the options given below:",,,,,,,
Biology,The highest evolutionary fitness is shown by,A Cheetah that catches the most prey,A Fox that successfully avoids predators,A Wolf that recovers quickly from a wound,A Tortoise that has lived for over 100 years,A Gorilla that reproduces several times,,
Biology,Which one is a reptile?,Toadd,Salamander,Turtle,Newt,,,
Biology,"A lichen having much branched system of cylindrical or ribbon-like branches but a small thallus, is called as",Foliose lichen,Fruticose lichen,Thallose lichen,crsutaceous lichen,,,
Biology,Which is the part of the nephron that exists in outer zone of kidney?,Loop of the henle,PCT,Bowman's capsule,DCT,,,
Biology,Ammonia is an inorganic water pollutant.,True,False,,,,,
Biology,Which the following commercial application of phytohormones are correct?,Auxins are extensively used in agriculture to promote flowering in pineapples,"b, cand d
\( c \cdot a, \) cand d",a band d,"Abscisic acid is of great use in the ripening the fruits like mango, orange, pineapple etc.",,,
Biology,Select the option where the property describing muscle fibres is not associated with wall of stomach.,Presence of actin and myosin fibrils,"Branched, multinucleated appearance",Involuntary nature,Presence of cell junctions,,,
Biology,"Very short answer type.
What is the source for aldosterone?",,,,,,,
Biology,"Which place in India is called ""The
Golden Mine of Liverworts""?",Eastern Himalayas,Western Himalayas,Eastern Ghats,western Ghats,Sundarbans,,
Biology,List two function of lymphatic system?,,,,,,,
Biology,The system of giving one name to the individual is,Quasibinomial system,Semibinomial system,Uninomial system,Mononomial system,,,
Biology,Androecium is the whorl of,Anthers,Stamens,Tepals,Filaments,,,
Biology,"The mode of coelom formation
in Hemichordata are",Enterocoelus,Pseudocoelous,All of the above,Schizcoelous,,,
Biology,Meibomian gland are associated with,Eyes,Ears,skin,Reproductive organ,,,
Biology,"Which of the following act as a substrate for an enzyme that charges
tRNA molecules?",I only,II only,"I, II, and III
E . ।, ॥, ॥ा, and IV",॥ा only,,"ATP
III. tRNA
IV. snRNA",
Biology,Respiratory disease associated with excess histamine is,Bronchitis,Emphysema,All of the above,Asthma,,,
Biology,Which of the following fungus can cause diseases in humans?,Penicillium,Ustilago,All of the above,Puccinia,,,
Biology,"An arboretum is a place for growing flowers, fruits or vegetables.",True,False,,,,,
Biology,Transitional stage of physical and physiological development that occurs in the period between puberty and adulthood is called as,Adolescence,Puberty.,Maturity.,senescence,,,
Biology,"An extinct bird of Mauritius is the
\( A \). Bubo",,Dodo,Pigeon,Peacock,,,
Biology,"Taxonomic system based only on the traits, that reflect the order in time in
which branches arose in phylogenetic tree is called as",Phylogeny,Cladistics,Phenetics,classical evolutionary taxonomy,,,
Biology,True multicellularity occurs only in,Animals,Eukaryotes,"Plants, animals and protists",Plants and animals,"Plants, animals and fungi",,
Biology,The earliest man-like primate was,Ramapithecus,Australopithecus,Homo erectus,Homo habitue,,,
Biology,Which of these is a bisexual flower?,Petunia,corn,None of these,Papaya,,,
Biology,"Who discovered Java ape man?
A . Leakey",,Mayr,Dubois,Davidson Black,,,
Biology,"Grass stem elongates after initia
growth due to
A . Lateral meristem",,Secondary meristerm,Apical meristem,Intercalary meristem,,,
Biology,"The given figure represents locations in human female reproductive system that are affected by different birth control measures. Identify them and
select the correct option","P-Copper T, Q - Birth control pills, R Tubectomy, S condom","P - Birth control pills, Q Copper T, R Tubectomy, S -","P Copper T, Q - Birth control pills, R Ovariectomy, S -","P- Birth control pills, Q Diaphragm, R Ovariectomy, copper \( T \)",,,
Biology,"Very short answer type:
What is double fertilization?",,,,,,,
Biology,Biotic factors are,Chemical factors of soil which affect life.,Physical factors of soil which affect life.,Factors of atmosphere which affect life.,All living organisms which influence other organisms.,,,
Biology,First true land plants are,Mosses,Ferns,Produce flowers,Amphibians of plant kingdom,,,
Biology,"This smallest fox lives in the deserts of
North Africa. It has large ears that radiate body heat and help keep the fox
cool. Name this animal.",Fennec fox,Red fox,Kit fox,Grey fox,,,
Biology,"(a) What is the function of acid in
stomach?
(b) What is the difference between
autotrophic nutrition and heterotrophic nutrition?",,,,,,,
Biology,Fishes die by sewage because,Of its bad smell.,It replaces food material of fishes.,\( C O_{2} \) is mixed in large amount in water.,It increases oxygen competition among fishes.,,,
Biology,"The volume of thoracic cavity increases during
A . Never",,Expiration,Inspiration,Both A and B,,,
Biology,"Crocodile lives for about
A . 10 years",,20 years,60 years,40 years,,,
Biology,Pteridophytes are advanced than bryophytes in having,Swimming antherozoids,Sporophyte as dominant phase,Gametophyte as dominant phase,Archegonia,,,
Biology,"Choose the correct answer from the
alternatives given:

Identify the labels \( A, B, C \) and Din the
given structure of tRNA and select the
correct option.","A - Anticodon loop, B T \( \Psi \mathrm{C} \) loop, \( \mathrm{C} \) - AA binding site, D DHU loop","A - AA binding site, B - T\PsiC loop, C - Anticodon loop, D DHU loop","A - M binding site, B - DHU loop, C - T\PsiC loop, D Anticodon loop","\( A-M \) binding site, \( B \) - DHU loop, \( C \) - Anticodon loop, \( D \) T \( \Psi \) C loop",,,
